Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33n","C_0603",-0.163701,-0.867819,0.000000,bottom
"C2","33n","C_0603",-0.130236,-1.048921,0.000000,bottom
"C3","33n","C_0603",-0.171575,-0.730024,0.000000,bottom
"R1","5.8R","R_0603",0.436693,-0.165063,0.000000,bottom
"R2","5.8R","R_0603",0.436693,-0.263488,180.000000,bottom
"R3","5.8R","R_0603",0.771339,-0.165063,180.000000,bottom
"R4","5.8R","R_0603",0.771339,-0.263488,0.000000,bottom
"R5","220K","R_1206",-1.894016,-0.243803,180.000000,bottom
"R6","220K","R_1206",-1.894016,-0.543016,180.000000,bottom
"R7","220K","R_1206",-1.894016,-0.844197,180.000000,bottom
"R8","5.8R","R_0603",0.436693,-0.361913,0.000000,bottom
"R9","5.8R","R_0603",0.436693,-0.460339,180.000000,bottom
"R10","5.8R","R_0603",0.771339,-0.361913,180.000000,bottom
"R11","5.8R","R_0603",0.771339,-0.460339,0.000000,bottom
"R12","220K","R_1206",-0.992441,-0.731992,180.000000,bottom
"R13","220K","R_1206",-0.992441,-0.942622,180.000000,bottom
"R14","220K","R_1206",-0.992441,-1.143409,180.000000,bottom
"R15","220K","R_1206",-0.764094,-0.731992,180.000000,bottom
"R16","220K","R_1206",-0.764094,-0.942622,180.000000,bottom
"R17","220K","R_1206",-0.764094,-1.143409,180.000000,bottom
"R18","5.8R","R_0603",0.436693,-0.720181,0.000000,bottom
"R19","5.8R","R_0603",0.436693,-0.818606,180.000000,bottom
"R20","5.8R","R_0603",0.771339,-0.720181,180.000000,bottom
"R21","5.8R","R_0603",0.771339,-0.818606,0.000000,bottom
"R22","220K","R_1206",-0.535748,-0.731992,180.000000,bottom
"R23","220K","R_1206",-0.535748,-0.942622,180.000000,bottom
"R24","220K","R_1206",-0.535748,-1.143409,180.000000,bottom
"R25","1K","R_0603",-0.171575,-0.798921,180.000000,bottom
"R26","1K","R_0603",-0.163701,-0.936717,180.000000,bottom
"R27","1K","R_0603",-0.130236,-1.123724,180.000000,bottom
"R28","5.8R","R_0603",0.436693,-0.917031,0.000000,bottom
"R29","5.8R","R_0603",0.436693,-1.015457,180.000000,bottom
"R30","5.8R","R_0603",0.771339,-0.917031,180.000000,bottom
"R31","5.8R","R_0603",0.771339,-1.015457,0.000000,bottom
"C4","1uF","C_0603",-0.534764,-0.036126,270.000000,top
"C5","1uF","C_0603",-1.021969,-0.003646,0.000000,top
"C6","1uF","C_0603",-0.623346,-0.242819,180.000000,top
"C7","1uF","C_0603",-0.761142,-0.242819,0.000000,top
"C8","1uF","C_0603",-0.884173,-0.003646,180.000000,top
"C9","1uF","C_0603",-0.300512,-0.112898,90.000000,top
"D1","D_Schottky","D_SOD-323F",-0.432402,-0.016441,0.000000,top
"D2","LED","LED_0603",-0.496378,-0.242819,180.000000,top
"J2","VBAT","JST_SH_BM02B-SRSS-TB_02x1.00mm_Straight",-0.148937,-0.085339,0.000000,top
"L1","Ferrite_Bead_Small","L_1206",-1.718898,-0.033858,180.000000,top
"R32","2K","R_0603",-0.534764,-0.158173,90.000000,top
"R33","1K","R_0603",-0.378268,-0.242819,0.000000,top
"RV1","Varistor","SMD-4032",-1.813307,-0.335181,180.000000,top
"RV2","Varistor","SMD-4032",-1.813307,-0.590181,180.000000,top
"RV3","Varistor","SMD-4032",-1.813307,-0.842228,180.000000,top
"U1","MCP73831-2-OT","SOT-23-5",-0.416654,-0.134551,180.000000,top
"U2","AP7365-33YG-13","SOT-89-3",-0.692244,-0.110929,90.000000,top
"U3","AP7365-33YG-13","SOT-89-3",-0.953071,-0.141441,270.000000,top
